Author,Ind.Bias
"Raj, K.",0.023752969121140142
"Breeze, C.E.",0.004750593824228029
"Wooding, B.",0.0023752969121140144
"Pellerin, M.",0.0023752969121140144
"Akinyi, M.Y.",0.0023752969121140144
"Lange, T.R.",0.0023752969121140144
"Li, C.Z.",0.026128266033254157
"Ostrander, E.A.",0.0023752969121140144
"Ransome, R.D.",0.0023752969121140144
"Eirin-Lopez, J.M.",0.0023752969121140144
"Horvath, S.",0.057007125890736345
"Spangler, M.L.",0.0023752969121140144
"Lee, S.G.",0.0023752969121140144
"Duhayer, J.",0.0023752969121140144
"Chandler, D.",0.0023752969121140144
"Somerville, S.E.",0.0023752969121140144
"Faure, P.A.",0.0023752969121140144
"Arnold, B.D.",0.0023752969121140144
"Coppola, G.",0.0023752969121140144
"Russell, J.",0.0023752969121140144
"Meudt, J.J.",0.0023752969121140144
"Dempster, E.L.",0.0023752969121140144
"Delaney, J.P.",0.0023752969121140144
"Bawden, C.S.",0.0023752969121140144
"Herrera, M.",0.0023752969121140144
"Rydkina, E.",0.0023752969121140144
"Rey, B.",0.0023752969121140144
"Belov, K.",0.0023752969121140144
"Guillette, L.J.",0.004750593824228029
"Staggs, L.",0.004750593824228029
"Yang, A.",0.0023752969121140144
"Polanowski, A.M.",0.0023752969121140144
"Choi, O.W.",0.0023752969121140144
"McMahon, C.R.",0.0023752969121140144
"Wright, P.G.R.",0.0023752969121140144
"Caswara, C.",0.0023752969121140144
"De Paoli-Iseppi, R.",0.0023752969121140144
"Lawler, R.",0.0023752969121140144
"Bradley, Brenda J.",0.0023752969121140144
"Bellone, R.R.",0.0023752969121140144
"Shafer, A.B.A.",0.0023752969121140144
"Inoue-Murayama, M.",0.004750593824228029
"Rakyan, V.K.",0.0023752969121140144
"Qi, H.",0.0023752969121140144
"Freimer, N.B.",0.0023752969121140144
"Tung, J.",0.0023752969121140144
"Hore, R.R.",0.0023752969121140144
"Cooper, L.N.",0.0023752969121140144
"Anderson, J.A.",0.0023752969121140144
"Parasyraki, E.",0.0023752969121140144
"Pellegrini, M.",0.004750593824228029
"Yildizoglu, S.",0.0023752969121140144
"Maddox, D.",0.004750593824228029
"Arneson, A.",0.0023752969121140144
"Régis, C.",0.0023752969121140144
"Peng, S.",0.0023752969121140144
"Kavanagh, K.",0.0023752969121140144
"Cloy-McCoy, J.A.",0.0023752969121140144
"Hogg, C.J.",0.0023752969121140144
"Sugrue, V.J.",0.0023752969121140144
"Szladovits, B.",0.0023752969121140144
"Black, P.",0.004750593824228029
"Meer, M.V.",0.0023752969121140144
"Kucklick, J.R.",0.0023752969121140144
"Wood, J.",0.0023752969121140144
"Pope, B.",0.0023752969121140144
"Yao, M.",0.0023752969121140144
"Thompson, M.J.",0.004750593824228029
"Levine, M.E.",0.0023752969121140144
"Mountcastle, J.",0.0023752969121140144
"Schmitt, D.",0.0023752969121140144
"Snell, R.G.",0.0023752969121140144
"Pardonnet, S.",0.0023752969121140144
"Berry, O.",0.0023752969121140144
"Greville, L.J.",0.0023752969121140144
"Morris, C.",0.0023752969121140144
"Mathews, F.",0.0023752969121140144
"Korbie, D.",0.004750593824228029
"Baker, C.S.",0.0023752969121140144
"Park, T.J.",0.0023752969121140144
"Gerardo, L. ",0.0023752969121140144
"Danson, A.F.",0.0023752969121140144
"Voyles, T.N.",0.0023752969121140144
"Brown, J.L.",0.0023752969121140144
"Robeck, T.R.",0.019002375296912115
"Lu, A.T.",0.014251781472684086
"Ernst, J.",0.004750593824228029
"Beal, A.P.",0.0023752969121140144
"Manoyan, M.",0.0023752969121140144
"Schmitt, T.",0.004750593824228029
"Anastasiadi, D.",0.0023752969121140144
"Amoroso, V.G.",0.0023752969121140144
"Barsh, G.S.",0.0023752969121140144
"Lemaître, J.F.",0.0023752969121140144
"Kassim, B.L.",0.0023752969121140144
"Couzens, A.",0.0023752969121140144
"Brunell, A.M.",0.0023752969121140144
"Hale, M.D.",0.0023752969121140144
"Long, S.E.",0.0023752969121140144
"Ortega-Recalde, O.J.",0.0023752969121140144
"Ito, H.",0.0023752969121140144
"Jorgensen, M.J.",0.0023752969121140144
"Takasugi, M.",0.0023752969121140144
